iter	RMSE
0	40329.84458
1	39279.67486
2	38197.5393
3	37163.24848
4	36148.85337
5	35253.9459
6	34297.13036
7	33405.32293
8	32507.66435
9	31641.25185
10	30854.92809
11	30034.4358
12	29253.35516
13	28510.45694
14	27784.40616
15	27046.88737
16	26349.07617
17	25653.24901
18	24969.49147
19	24313.42078
20	23687.03354
21	23077.83511
22	22492.67829
23	21914.49037
24	21334.12077
25	20788.9772
26	20244.67826
27	19743.51805
28	19242.29048
29	18748.27988
30	18281.53499
31	17814.29913
32	17382.24639
33	16946.72679
34	16512.53242
35	16079.97438
36	15674.38318
37	15298.49572
38	14919.05246
39	14541.43177
40	14177.44698
41	13848.81113
42	13511.38539
43	13176.29377
44	12867.18265
45	12570.20815
46	12262.33805
47	11963.3454
48	11686.9694
49	11419.99125
50	11141.41267
51	10877.24304
52	10631.75943
53	10378.85458
54	10144.12313
55	9925.218046
56	9695.800118
57	9480.1556
58	9267.426835
59	9063.032195
60	8877.183536
61	8700.09188
62	8506.276878
63	8318.156286
64	8136.588156
65	7972.64781
66	7803.441712
67	7646.344321
68	7491.86402
69	7340.101402
70	7184.955256
71	7042.481525
72	6903.811599
73	6768.326874
74	6641.677058
75	6511.75258
76	6388.314244
77	6264.814779
78	6143.904784
79	6024.558459
80	5915.993449
81	5816.279066
82	5700.398385
83	5598.087769
84	5494.207008
85	5402.519216
86	5304.845349
87	5219.397887
88	5127.964049
89	5038.597189
90	4956.283943
91	4871.284788
92	4790.734736
93	4714.699504
94	4639.038417
95	4566.307436
96	4496.054024
97	4425.669242
98	4360.991266
99	4294.557201
