iter	Passed	Remaining
0	34	3459
1	72	3548
2	108	3499
3	142	3427
4	178	3390
5	212	3330
6	249	3310
7	259	2982
8	291	2949
9	328	2955
10	361	2922
11	370	2714
12	402	2691
13	435	2672
14	468	2652
15	502	2638
16	536	2617
17	572	2609
18	605	2580
19	635	2541
20	666	2507
21	671	2380
22	705	2361
23	740	2343
24	775	2326
25	811	2309
26	845	2286
27	881	2265
28	913	2237
29	931	2173
30	964	2146
31	998	2121
32	1031	2094
33	1067	2071
34	1101	2044
35	1134	2016
36	1167	1987
37	1202	1962
38	1236	1934
39	1272	1908
40	1306	1880
41	1339	1849
42	1374	1821
43	1407	1790
44	1439	1759
45	1471	1727
46	1505	1697
47	1538	1666
48	1571	1635
49	1604	1604
50	1638	1573
51	1671	1542
52	1704	1511
53	1738	1481
54	1771	1449
55	1805	1418
56	1838	1387
57	1872	1355
58	1905	1323
59	1937	1291
60	1970	1260
61	2003	1228
62	2036	1195
63	2070	1164
64	2102	1132
65	2135	1100
66	2168	1068
67	2201	1036
68	2234	1004
69	2269	972
70	2304	941
71	2337	908
72	2369	876
73	2401	843
74	2434	811
75	2467	779
76	2501	747
77	2535	715
78	2567	682
79	2600	650
80	2632	617
81	2665	585
82	2698	552
83	2731	520
84	2765	487
85	2797	455
86	2830	423
87	2864	390
88	2896	358
89	2929	325
90	2963	293
91	2997	260
92	3029	228
93	3062	195
94	3095	162
95	3127	130
96	3160	97
97	3194	65
98	3226	32
99	3259	0
